Position (mm);Force (N);Strain (%);Time (min)
1,68;8410;0,0525;1,68
1,68;8450;0,0528;1,69
1,69;8480;0,0532;1,69
1,69;8520;0,0533;1,70
1,70;8550;0,0537;1,70
1,70;8590;0,0540;1,71
1,71;8620;0,0543;1,71
1,71;8660;0,0547;1,72
1,72;8690;0,0549;1,72
1,72;8730;0,0552;1,73
1,73;8770;0,0555;1,73
1,73;8800;0,0558;1,74
1,74;8840;0,0562;1,74
1,74;8870;0,0565;1,75
1,75;8910;0,0568;1,75
1,75;8940;0,0571;1,75
1,76;8980;0,0573;1,76
1,76;9020;0,0577;1,76
1,77;9050;0,0580;1,77
1,77;9090;0,0583;1,77
1,78;9120;0,0585;1,78
1,78;9160;0,0588;1,78
1,78;9200;0,0592;1,79
1,79;9230;0,0595;1,79
1,79;9270;0,0598;1,80
1,80;9300;0,0602;1,80
1,80;9340;0,0605;1,81
1,81;9380;0,0607;1,81
1,81;9410;0,0610;1,82
1,82;9440;0,0613;1,82
1,82;9480;0,0617;1,83
1,83;9520;0,0620;1,83
1,83;9550;0,0623;1,84
1,84;9590;0,0625;1,84
1,84;9620;0,0628;1,85
1,85;9660;0,0632;1,85
1,85;9700;0,0635;1,86
1,86;9730;0,0638;1,86
1,86;9770;0,0640;1,87
1,87;9810;0,0645;1,87
1,87;9840;0,0648;1,87
1,88;9880;0,0650;1,88
1,88;9910;0,0653;1,88
1,89;9950;0,0657;1,89
1,89;9990;0,0660;1,89
1,89;10000;0,0663;1,90
1,90;10100;0,0667;1,90
1,90;10100;0,0670;1,91
1,91;10100;0,0673;1,91
1,91;10200;0,0675;1,92
1,92;10200;0,0679;1,92
1,92;10200;0,0682;1,93
1,93;10300;0,0685;1,93
1,93;10300;0,0688;1,94
1,94;10400;0,0692;1,94
1,94;10400;0,0695;1,95
1,95;10400;0,0698;1,95
1,95;10500;0,0701;1,96
1,96;10500;0,0703;1,96
1,96;10500;0,0707;1,97
1,97;10600;0,0711;1,97
1,97;10600;0,0713;1,98
1,98;10700;0,0717;1,98
1,98;10700;0,0720;1,99
1,99;10700;0,0723;1,99
1,99;10800;0,0726;2,00
2,00;10800;0,0730;2,00
2,00;10800;0,0732;2,00
2,01;10900;0,0735;2,01
2,01;10900;0,0739;2,01
2,02;11000;0,0742;2,02
2,02;11000;0,0745;2,02
2,02;11000;0,0748;2,03
2,03;11100;0,0752;2,03
2,03;11100;0,0755;2,04
2,04;11100;0,0758;2,04
2,04;11200;0,0761;2,05
2,05;11200;0,0765;2,05
2,05;11300;0,0767;2,06
2,06;11300;0,0770;2,06
2,06;11300;0,0773;2,07
2,07;11400;0,0777;2,07
2,07;11400;0,0780;2,08
2,08;11400;0,0783;2,08
2,08;11500;0,0787;2,09
2,09;11500;0,0790;2,09
2,09;11600;0,0793;2,10
2,10;11600;0,0796;2,10
2,10;11600;0,0798;2,11
2,11;11700;0,0803;2,11
2,11;11700;0,0805;2,12
2,12;11700;0,0808;2,12
2,12;11800;0,0812;2,13
2,13;11800;0,0815;2,13
2,13;11900;0,0820;2,13
2,14;11900;0,0822;2,14
2,14;11900;0,0825;2,14
2,15;12000;0,0828;2,15
2,15;12000;0,0832;2,15
2,16;12100;0,0835;2,16
2,16;12100;0,0838;2,16
2,16;12100;0,0842;2,17
2,17;12200;0,0845;2,17
2,17;12200;0,0848;2,18
2,18;12200;0,0852;2,18
2,18;12300;0,0855;2,19
2,19;12300;0,0858;2,19
2,19;12400;0,0862;2,20
2,20;12400;0,0865;2,20
2,20;12400;0,0868;2,21
2,21;12500;0,0872;2,21
2,21;12500;0,0875;2,22
2,22;12500;0,0878;2,22
2,22;12600;0,0882;2,23
2,23;12600;0,0885;2,23
2,23;12700;0,0888;2,24
2,24;12700;0,0892;2,24
2,24;12700;0,0895;2,25
2,25;12800;0,0898;2,25
2,25;12800;0,0902;2,25
2,26;12900;0,0905;2,26
2,26;12900;0,0910;2,26
2,27;12900;0,0912;2,27
2,27;13000;0,0916;2,27
2,28;13000;0,0919;2,28
2,28;13000;0,0922;2,28
2,28;13100;0,0925;2,29
2,29;13100;0,0929;2,29
2,29;13200;0,0932;2,30
2,30;13200;0,0935;2,30
2,30;13200;0,0938;2,31
2,31;13300;0,0943;2,31
2,31;13300;0,0946;2,32
2,32;13400;0,0950;2,32
2,32;13400;0,0953;2,33
2,33;13400;0,0957;2,33
2,33;13500;0,0960;2,34
2,34;13500;0,0963;2,34
2,34;13500;0,0967;2,35
2,35;13600;0,0970;2,35
2,35;13600;0,0973;2,36
2,36;13700;0,0977;2,36
2,36;13700;0,0980;2,37
2,37;13700;0,0984;2,37
2,37;13800;0,0988;2,38
2,38;13800;0,0992;2,38
2,38;13900;0,0995;2,38
2,39;13900;0,0998;2,39
2,39;13900;0,100;2,39
2,40;14000;0,101;2,40
2,40;14000;0,101;2,40
2,40;14100;0,101;2,41
2,41;14100;0,102;2,41
2,41;14100;0,102;2,42
2,42;14200;0,102;2,42
2,42;14200;0,103;2,43
2,43;14200;0,103;2,43
2,43;14300;0,104;2,44
2,44;14300;0,104;2,44
2,44;14400;0,104;2,45
2,45;14400;0,105;2,45
2,45;14400;0,105;2,46
2,46;14500;0,105;2,46
2,46;14500;0,106;2,47
2,47;14600;0,106;2,47
2,47;14600;0,106;2,48
2,48;14600;0,107;2,48
2,48;14700;0,107;2,49
2,49;14700;0,108;2,49
2,49;14800;0,108;2,50
2,50;14800;0,108;2,50
2,50;14800;0,109;2,51
2,51;14900;0,109;2,51
2,51;14900;0,109;2,51
2,52;15000;0,110;2,52
2,52;15000;0,110;2,52
2,53;15000;0,111;2,53
2,53;15100;0,111;2,53
2,54;15100;0,112;2,54
2,54;15200;0,112;2,54
2,54;15200;0,112;2,55
2,55;15200;0,113;2,55
2,55;15300;0,113;2,56
2,56;15300;0,113;2,56
2,56;15400;0,114;2,57
2,57;15400;0,114;2,57
2,57;15400;0,114;2,58
2,58;15500;0,113;2,58
2,58;15500;0,113;2,59
2,59;15400;0,111;2,59
2,59;15200;0,110;2,60
2,60;15000;0,108;2,60
2,60;14800;0,107;2,61
2,61;14700;0,106;2,61
2,61;14600;0,105;2,62
2,62;14600;0,105;2,62
2,62;14500;0,105;2,63
2,63;14400;0,105;2,63
2,63;14400;0,105;2,63
2,64;14300;0,105;2,64
2,64;14300;0,105;2,64
2,65;14300;0,105;2,65
2,65;14300;0,106;2,65
2,66;14300;0,107;2,66
2,66;14300;0,108;2,66
2,66;14300;0,109;2,67
2,67;14300;0,111;2,67
2,67;14200;0,113;2,68
2,68;14200;0,115;2,68
2,68;14100;0,118;2,69
2,69;14100;0,122;2,69
2,69;14000;0,126;2,70
2,70;14000;0,131;2,70
2,70;13900;0,137;2,71
2,71;13900;0,143;2,71
2,71;13900;0,149;2,72
2,72;13900;0,156;2,72
2,72;13900;0,164;2,73
2,73;13900;0,173;2,73
2,73;13800;0,184;2,74
2,74;13800;0,194;2,74
2,74;13800;0,205;2,75
2,75;13800;0,216;2,75
2,75;13800;0,225;2,76
2,76;13800;0,234;2,76
2,76;13800;0,243;2,76
2,77;13800;0,252;2,77
2,77;13800;0,261;2,77
2,78;13800;0,271;2,78
2,78;13800;0,280;2,78
2,78;13800;0,289;2,79
2,79;13800;0,298;2,79
2,79;13800;0,307;2,80
2,80;13800;0,317;2,80
2,80;13800;0,327;2,81
2,81;13800;0,338;2,81
2,81;13800;0,350;2,82
2,82;13800;0,362;2,82
2,82;13700;0,374;2,83
2,83;13700;0,386;2,83
2,83;13700;0,398;2,84
2,84;13700;0,409;2,84
2,84;13600;0,420;2,85
2,85;13600;0,431;2,85
2,85;13600;0,441;2,86
2,86;13600;0,450;2,86
2,86;13600;0,459;2,87
2,87;13600;0,468;2,87
2,87;13600;0,477;2,88
2,88;13600;0,486;2,88
2,88;13600;0,497;2,89
2,89;13600;0,506;2,89
2,89;13600;0,515;2,89
2,90;13600;0,524;2,90
2,90;13700;0,532;2,90
2,91;13700;0,541;2,91
2,91;13700;0,550;2,91
2,91;13700;0,558;2,92
2,92;13700;0,566;2,92
2,92;13700;0,574;2,93
2,93;13700;0,582;2,93
2,93;13800;0,591;2,94
2,94;13800;0,601;2,94
2,94;13800;0,610;2,95
2,95;13800;0,620;2,95
2,95;13800;0,630;2,96
2,96;13800;0,640;2,96
2,96;13800;0,649;2,97
2,97;13800;0,659;2,97
2,97;13800;0,669;2,98
2,98;13700;0,679;2,98
2,98;13700;0,690;2,99
2,99;13700;0,700;2,99
2,99;13700;0,711;3,00
3,00;13700;0,720;3,00
3,00;13700;0,730;3,01
3,01;13700;0,740;3,01
3,01;13700;0,752;3,01
3,02;13700;0,764;3,02
3,02;13600;0,776;3,02
3,03;13600;0,788;3,03
3,03;13600;0,800;3,03
3,04;13600;0,812;3,04
3,04;13600;0,822;3,04
3,04;13500;0,833;3,05
3,05;13500;0,842;3,05
3,05;13500;0,851;3,06
3,06;13600;0,861;3,06
3,06;13600;0,870;3,07
3,07;13600;0,879;3,07
3,07;13600;0,888;3,08
3,08;13600;0,897;3,08
3,08;13600;0,905;3,09
3,09;13600;0,913;3,09
